"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",954.770931565544,3.96721830952947,0.214182032985171,18.5226475546814,1.35601677627638e-76,2.05138217915091e-72
"ENSG00000179094",743.252688449073,2.71379599059235,0.166045314758609,16.3437071051211,4.82292720470133e-60,3.64806213763609e-56
"ENSG00000116584",2277.91345410747,-1.02690605725764,0.0645576908216699,-15.9067966060667,5.68487696742564e-57,2.86669395877383e-53
"ENSG00000189221",2383.75370672631,3.0908988211592,0.196341591988746,15.7424557367161,7.73813811276499e-56,2.92656383424772e-52
"ENSG00000120129",3440.70375496308,2.75946355911886,0.189512960657355,14.5608171047892,4.98582726136499e-48,1.50851189619859e-44
"ENSG00000148175",13493.9203682606,1.40183401348212,0.0985833675209376,14.2197821877448,6.90675725633979e-46,1.74142372956514e-42
"ENSG00000109906",439.541520915421,4.41713611889607,0.314084615546606,14.0635226950192,6.36379214369925e-45,1.37530639356975e-41
"ENSG00000178695",2685.40973562001,-2.35511218666362,0.168414038301913,-13.9840610106483,1.95033955304426e-44,3.6880920948067e-41
"ENSG00000134686",2933.64246142684,1.41113938041455,0.10373478123648,13.6033388569802,3.8256197029965e-42,6.43044165188123e-39
"ENSG00000101347",14134.9917673153,3.35683850175509,0.248643030785969,13.5006337846832,1.55036652950733e-41,2.34539448583869e-38
"ENSG00000096060",2630.23049426017,3.41420994594347,0.253560762637687,13.4650563061369,2.51126714398942e-41,3.45367721402472e-38
"ENSG00000166741",7542.25286980186,2.11411390379923,0.158801243123351,13.3129556306877,1.94627270411893e-40,2.45360112232594e-37
"ENSG00000125148",3695.87946177106,2.09374339625604,0.159020721810587,13.166481527797,1.36827043520065e-39,1.5922457802858e-36
"ENSG00000162614",5646.18313812309,1.89443239329905,0.144350923517121,13.1237982213142,2.40568830972451e-39,2.59951805353659e-36
"ENSG00000187193",199.07693798836,2.90094711132082,0.230333822894556,12.59453377218,2.26293071705148e-36,2.28224105917031e-33
"ENSG00000106976",989.046833637733,-1.78038708864701,0.142136936150222,-12.5258580694701,5.39051836462932e-36,5.09673511375702e-33
"ENSG00000179593",68.3800745222305,4.2594745703327,0.348850862672593,12.2100158723998,2.74835551756073e-34,2.44571307468581e-31
"ENSG00000256235",1123.47954131474,1.25508698409254,0.103393795978704,12.1389003296779,6.570310125125e-34,5.52198064293838e-31
"ENSG00000177666",2639.57019969705,1.12142948148418,0.0944993392184288,11.8670616192571,1.75524807963093e-32,1.39754699729772e-29
"ENSG00000164125",7257.00808055341,1.01125444195712,0.0854260668705202,11.8377736328405,2.48974604777442e-32,1.88324391053657e-29
"ENSG00000198624",2020.04495478061,2.5485902075996,0.217872534449778,11.6976204184519,1.31077714309049e-31,9.44258886698713e-29
"ENSG00000123562",5008.55293511073,0.990466228257843,0.0877656652821076,11.2853497443922,1.5502375432571e-29,1.06599970701788e-26
"ENSG00000196517",241.91536257078,-2.1738490473657,0.194237380185164,-11.1917131774193,4.47698787827404e-29,2.94469011402303e-26
"ENSG00000144369",1283.77979687001,-1.27753649402034,0.114310713198505,-11.1759996790663,5.34451809320919e-29,3.36882790475286e-26
"ENSG00000135821",19973.4000047829,2.67394923697332,0.24281278754053,11.0123905089924,3.33047659691481e-28,2.01533799832509e-25
"ENSG00000157150",194.419230565533,2.57624366006848,0.236258942209911,10.9043223336687,1.09909146271476e-27,6.39502140305726e-25
"ENSG00000164647",1885.61489540935,1.49268201839542,0.137590614436362,10.8487197655899,2.0223811124805e-27,1.13313264702241e-24
"ENSG00000276600",308.766133363223,-1.68081417115438,0.155319703670368,-10.8216416297158,2.71863607064693e-27,1.46884023131238e-24
"ENSG00000163697",2417.25697073947,0.905516915170635,0.0848336574328026,10.674028947625,1.34658031456137e-26,7.02450586161533e-24
"ENSG00000116285",3268.63191573428,2.2293927828209,0.209569218667365,10.637978215491,1.98387306568137e-26,9.93054172941522e-24
"ENSG00000181467",614.694820343917,-1.23078059021928,0.115722623785789,-10.6356090966062,2.03494707569984e-26,9.93054172941522e-24
"ENSG00000162692",501.804184764929,-2.93864234169491,0.27735130735042,-10.5953794477056,3.13068765061854e-26,1.48003258682991e-23
"ENSG00000183044",534.268135899311,0.990212765635182,0.0935512460808575,10.5847095267906,3.50867313334409e-26,1.60846082306756e-23
"ENSG00000163884",574.142864572114,3.36195910802424,0.321843634007389,10.44593943389,1.5293364370663e-25,6.80464753527615e-23
"ENSG00000273259",2004.06797116422,2.82871360593753,0.272140865678274,10.3942992864645,2.63214450635338e-25,1.13768805977468e-22
"ENSG00000110756",990.645486606917,1.43462599452026,0.141495805661898,10.1390001478085,3.70876057723395e-24,1.55850361145542e-21
"ENSG00000119138",1717.46623459215,1.96925215797464,0.195949002268115,10.0498197754543,9.20355851641825e-24,3.76301170909122e-21
"ENSG00000077684",1762.18309743193,1.16024970109532,0.115756411471569,10.0232003251094,1.20535428195889e-23,4.7985788361774e-21
"ENSG00000103502",3348.30312527958,0.829277766919005,0.0828620786144005,10.007928606016,1.40666862489187e-23,5.45643152752928e-21
"ENSG00000166482",27413.4128904298,-0.934052534566943,0.0938168075335457,-9.95613215929307,2.37108494740735e-23,8.96744327109458e-21
"ENSG00000185950",2275.98209759502,1.99324796584509,0.202354438392623,9.85028043703021,6.83529872401026e-23,2.52205851455676e-20
"ENSG00000165995",513.109573436338,2.57183909731795,0.261370253685735,9.83983089525661,7.58382010611145e-23,2.73161977536319e-20
"ENSG00000103196",3096.15933899728,2.32639374808677,0.236984571914226,9.81664641413358,9.54666743547084e-23,3.3586508131117e-20
"ENSG00000211445",12537.1799334237,2.95995925804282,0.304371259953266,9.72483163652607,2.36295975480184e-22,8.12428526605505e-20
"ENSG00000157510",502.245335458258,1.71374088885973,0.176720337509311,9.69747405993625,3.09054948849998e-22,1.03897405915617e-19
"ENSG00000158246",70.9156124341666,2.11597991376994,0.219883596284394,9.62318221789117,6.382541000761e-22,2.09902348390244e-19
"ENSG00000221869",1996.6227385359,1.45117468908704,0.150968540846794,9.61243104654319,7.08559510049676e-22,2.28065707830457e-19
"ENSG00000197043",14235.8891385396,0.938073959413373,0.0976241423676891,9.6090366241604,7.32309227783898e-22,2.30799458289892e-19
"ENSG00000139289",2896.74376144142,-1.04731245988211,0.109649222642248,-9.55148093752722,1.27855356349055e-21,3.94733843030308e-19
"ENSG00000131389",738.395170724894,-1.82523968534704,0.191180588482196,-9.54720194052036,1.33246389206592e-21,4.03150275183465e-19
"ENSG00000145777",152.344620594276,-2.36284155428457,0.249165716098887,-9.4830123151727,2.47046312996095e-21,7.32807180981357e-19
"ENSG00000181061",2495.79383552303,1.22923890447327,0.131141951534577,9.37334613439213,7.02687305064374e-21,2.04427952904112e-18
"ENSG00000157214",3042.42442776058,1.84613650921437,0.197638606908815,9.34097106880601,9.54545851292545e-21,2.72459804497238e-18
"ENSG00000151726",1467.32301351221,1.5013692550145,0.161430040238227,9.30043288596652,1.39875028295883e-20,3.91857301492613e-18
